01.txt|Ada Lovelace: 10 December 1815
02.txt|Charles Babbage: 26 December 1791
03.txt|Muḥammad ibn Mūsā al-Khwārizmī: c. 780
04.txt|John Vincent Atanasoff: 4 October 1903
05.txt|George Boole: 2 November 1815
06.txt|John Backus: 3 December 1924
07.txt|Tim Berners-Lee: 8 June 1955
08.txt|Vannevar Bush: 11 March 1890
09.txt|Noam Chomsky: 7 December 1928
10.txt|Edgar F. Codd: 19. August 1923
11.txt|Edsger W. Dijkstra: 11 May 1930
12.txt|Douglas Engelbart: 30 January 1925
13.txt|Gottlob Frege: 8 November 1848
14.txt|Donald Knuth: 10 January 1938
15.txt|Sergey Alexeyevich Lebedev: 2 November 1902
16.txt|Gottfried Wilhelm Leibniz: 1 July 1646
17.txt|Bertrand Russell: 18 May 1872
18.txt|Claude Shannon: 30 April 1916
19.txt|Sophie Wilson (born Roger Wilson): 1957
20.txt|Niklaus Wirth: 15 February 1934
21.txt|Konrad Zuse: 22 June 1910
22.txt|Gerard Salton: 8 March 1927
23.txt|Blaise Pascal: 19 June 1623
24.txt|Ramon Llull: c. 1232
25.txt|Michael Widenius: 3 March 1962
26.txt|穂坂 衛: 25 August 1920
27.txt|Leslie Lamport: 7 February 1941
28.txt|Claude Shannon: April 30, 1916
29.txt|Linus Torvalds: 28 December, 1969
30.txt|Ursula Walk: 20. January 1925
31.txt|James Gosling: 19 May, 1955
32.txt|Kurt Gödel: April 28, 1906
33.txt|John von Neumann: December 28, 1903
34.txt|Grace Hopper: December 9, 1906
35.txt|Guido van Rossum: January 31, 1956
36.txt|姚期智 (Andrew Yao): December 24, 1946
37.txt|Michael Stonebraker: October 11, 1943
38.txt|Silvio Micali: October 13, 1954
39.txt|Barbara Liskov: November 7, 1939
40.txt|Whitfield Diffie: June 5, 1944
41.txt|Martin Hellman: October 2, 1945
42.txt|Shafrira Goldwasser: 1959
43.txt|Vinton G. Cerf: June 23, 1943
